Qual sua idade?,Qual é o seu gênero?,Antes de conhecer a MusicDot você tinha algum conhecimento musical?,Você tem uma matrícula ativa da MusicDot?,Você assina o plano Semestral ou Anual?,Você pediu para fazer um teste da MusicDot antes de se matricular?,Qual é o seu principal objetivo com aprendizagem musical? (Pode selecionar mais de uma opção),Qual dessas categorias te atraiu no 1º momento? (Pode selecionar mais de uma opção),Você está atualmente fazendo aulas de que instrumento?,Qual o nível do curso que você está fazendo?,Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Repertório],Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Professor],Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Exercícios],Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Material de apoio],Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Qualidade dos vídeos],Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Didática],Como você avalia a variedade de estilos musicais para os cursos da MusicDot?,"Com relação aos recursos da MusicDot, que nota você daria para: [Acompanhamento dos professores pelo fórum]","Com relação aos recursos da MusicDot, que nota você daria para: [Tempo de resposta no fórum]","Com relação aos recursos da MusicDot, que nota você daria para: [Postar um vídeo ou áudio no fórum]","Com relação aos recursos da MusicDot, que nota você daria para: [Usar aplicativo da MusicDot]","Com relação aos recursos da MusicDot, que nota você daria para: [Download dos materiais das aulas]",Quais são os pontos negativos em se estudar na MusicDot?,Quais são os pontos positivos em estudar na MusicDot? ,"Em uma escala de 0 a 10, o quanto você recomendaria a MusicDot a um amigo(a) ou colega?",Qual a melhor forma de te avisarmos sobre novos lançamentos de cursos e funcionalidades da plataforma?,Quais foram as suas primeiras impressões em relação a MusicDot? (Pode selecionar mais de uma opção),O que te motiva acompanhar a MusicDot pelas redes sociais ? (Pode selecionar mais de uma opção),"Hoje se você fosse aprender algum instrumento musical, qual seria o principal objetivo ? (Pode selecionar mais de uma opção)",Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Preço],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Diversas opções de pagamento],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Suporte online para esclarecimentos de dúvidas],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Material impresso],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Acesso Vitalício],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Conteúdo dos cursos],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Didática],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Planos oferecidos],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Estilos musicais variados],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Reputação da escola],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Indicação de um amigo],Você sabia que existe a possibilidade de testar a MusicDot?,Você gostaria que a gente entrasse em contato pelo e-mail para oferecer um teste da MusicDot?,Qual plano você havia contratado?,Por quanto tempo ficou na plataforma?,Há quanto tempo você saiu da plataforma?,Porque você deixou de ser aluno da MusicDot? (Pode selecionar mais de uma opção),Gostaria de dar mais detalhes sobre sua saída?,Você estudaria novamente na MusicDot?,"Você gostaria que a gente entrasse em contato pelo e-mail para oferecer um teste da MusicDot, para você ver as novidades desde que saiu?","Em uma escala de 0 a 10, o quanto você recomendaria a MusicDot a um amigo(a) ou colega?.1",Como conheceu a MusicDot? (Pode selecionar mais de uma opção),Poderia dar mais detalhes de como conheceu a gente?,Você acompanha a MusicDot em alguma rede social ou meio? Qual? (Pode selecionar mais de uma opção),Você fez algum acampamento de música?,Quando fez o acampamento de música você já assinava a MusicDot?,Poderia falar pra gente o que te motivou a fazer o acampamento?,Quer deixar algum comentário final pra equipe da MusicDot?
de 35 a 44 anos,Homem,2,Sim,Anual,"Não, eu não vi necessidade em experimentar","Passatempo, Desejo ter um grupo ou banda, Quero melhorar minhas habilidades musicais, Fazer novas amizades","Teclado, Piano, Violão, Canto",Piano,Intermediário,4,5 - Excelente,4,4,5 - Excelente,5 - Excelente,4.0,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,4,3,Repertório é pré-definido e as vezes a musica que eu gosto nao esta completa.,"A didática é excelente, a qualidade dos professores e vídeos também, assim como as respostas e avaliações dos professores no fórum.",10.0,"""Sininho"" de avisos da plataforma, email (newsletter), Youtube da MusicDot",,,,,,,,,,,,,,,,,,,,,,,,,Grupo Caelum Alura,"Conheci pelo Alura, que também sou aluno.","Youtube, Instagram",Não,Não fiz o acampamento,,"Gosto muito da Musicdot! Estou adorando! Uma sugestão seria ter músicas cross-instrumento, ou seja, que tenha a mesma música para piano, guitarra, baixo bateria, poderia ser um curso só disso... poderia ser a música do Tirando de ouvido (alias, poderia ter a cifra disponibilizada no tirando de ouvido) quem sabe para fomentar bandas virtuais... as pessoas gravando vídeos juntos (editados), adoraria participar. Parabéns a todos!"
de 45 a 54 anos,Homem,3,Não,,,,,,,,,,,,,,,,,,,,,,,É uma escola de música online,"Quero aperfeiçoar o que já sei através dos conteúdos, Gosto de avaliações de instrumentos musicais","Quero melhorar minhas habilidades musicais, Quero me profissionalizar na música",Média,Média,Alta,Alta,Média,Alta,Alta,Alta,Alta,Muito alta,Muito alta,Não,Sim,,,,,,,,,Youtube,Pelas explicações do Pedro Lopes quando procurava um piano digital.,Youtube,Não,Não fiz o acampamento,,Obrigado
de 25 a 34 anos,Mulher,2,Sim,Anual,"Não, eu não sabia que havia a possibilidade de testar","Passatempo, Desejo ter um grupo ou banda, Quero melhorar minhas habilidades musicais","Piano, Guitarra, Bateria, Teoria",Guitarra,Básico,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5.0,3,3,3,3,3,Nenhum até o momento,"Todas as aulas tem sido bem explicadas, muito didáticas, e sempre aprendo uma música (mesmo que não toda) ao final de todas as aulas",10.0,"""Sininho"" de avisos da plataforma, email (newsletter)",,,,,,,,,,,,,,,,,,,,,,,,,Grupo Caelum Alura,"Se me lembro bem, foi pelo site da Alura, na qual também tenho uma assinatura",Instagram,Não,Não fiz o acampamento,,"Vocês são ótimos! As aulas têm me ajudado bastante a melhorar na guitarra. Espero aprender bastante em bateria também, futuramente."
de 45 a 54 anos,Mulher,2,"Já tive, mas hoje não tenho mais",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plano semestral,Cancelei antes o fim de vigência do meu plano,Bem mais do que 1 ano,Não estou em condições financeiras no momento,Não,Sim,Sim,8.0,Facebook,Não,Facebook,Não,Não,Aprender,Valeu
de 18 a 24 anos,Mulher,3,Não,,,,,,,,,,,,,,,,,,,,,,,É um canal no Youtube sobre aprendizagem musical,Quero aperfeiçoar o que já sei através dos conteúdos,"Quero melhorar minhas habilidades musicais, Quero aprender teoria musical",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Alta,Não,Sim,,,,,,,,,Youtube,,"Youtube, Instagram",Não,Não fiz o acampamento,,Vocês são perfeitos e me inspiram muito
65 anos ou mais,Mulher,1,Sim,Anual,"Não, eu não sabia que havia a possibilidade de testar",Passatempo,Ukulelê,Violão,Básico,3,3,3,2,3,2,4.0,1 - Muita Dificuldade/ Horrível,1 - Muita Dificuldade/ Horrível,1 - Muita Dificuldade/ Horrível,2,2,Falta um monitor para tirar dúvidas no seguimento dos cursos.,"Facilidade de estudar no horário desejado.
",8.0,"""Sininho"" de avisos da plataforma",,,,,,,,,,,,,,,,,,,,,,,,,"Pesquisando no Google, Acampamento de Música","Pesquisei na internet, experimentei o acampamento musical e gostei.",Youtube,Sim,Não,Estava procurando algum modo de fazer aulas e encontrei a proposta do acampamento “gratuito”.,"Tive um impacto negativo no início. Primeiramente não obtive o desconto que seria concedido a quem participasse do acampamento.
Depois quando paguei, tinha a intenção de pagar parcelado, qdo percebi.... entrou a vista.
Não conseguia acessar a plataforma.
Entrei em vários cursos e a cada um dele fui tendo novas decepções pq não conseguia acompanhar, por isso digo que é necessário ter um monitor para acompanhar e orientar cada aluno.
Depois comecei fazer um intermediário e odiei o profe que ia muito rápido em lições que eu não tinha pré-requisito para tal.
No final resolvi seguir apenas um curso, bem devagar e acabei gostando muito.
Méritos para professor Pedro. 
"
de 55 a 64 anos,Homem,2,Sim,Semestral,"Não, eu não sabia que havia a possibilidade de testar",Tocar/cantar na igreja,Canto,Canto,Intermediário,0 - Detestei,3,2,3,3,3,3.0,2,2,1 - Muita Dificuldade/ Horrível,1 - Muita Dificuldade/ Horrível,2,"Deveria ter repertorio gospel, e é muito dificultoso mandar musica no forum,existe outras plaraformas mais simples,tanto que ate agora so postei um exercicio queria mandar outros para professora me avaliar mas é  muoto complicado.","Quem faz a escola é o aluno, vocês me passaram o material e eu estudo todos os dias, pois eu sei que depende de mim. Só que falando por outros alunos que não tem a mesma visão minha. Acho que vocês deveriam acompanhar mais de perto, por exemplo? Aluno vocês têm que ter disciplina. Mas eu estou falando pelos outro .
",7.0,email (newsletter),,,,,,,,,,,,,,,,,,,,,,,,,"Youtube, Ao ver live da professoar mari","Estava procurando uma escola, assisti uma live da professora mariana e entrei no Instagram, visto que não encontrava endereço da music dot",Não acompanho em nenhum lugar,Sim,Não,Eu acho que não entendi sobre acompanhamento,"Diversificar o repertório eu estava mais de dez anos sem mexer com musica secular, somente gospel,somente ouvia no radio e na rua mas sem querer. E simplificar para enviar musica é muito trabalhoso .to querendo se analisado para saber se passo de fase mas desisti.fui para outra face assim mesmo. E a comunicação com a music dot deveria ser simples parece que agente fala com o alem manda video e depois vem a resposta. O primeiro video  e único que mandei fui bem atendido"
de 55 a 64 anos,Homem,2,Sim,Semestral,"Não, eu não sabia que havia a possibilidade de testar",Tocar/cantar na igreja,Canto,Canto,Intermediário,0 - Detestei,3,2,3,3,3,3.0,2,2,1 - Muita Dificuldade/ Horrível,1 - Muita Dificuldade/ Horrível,2,"Deveria ter repertorio gospel, e é muito dificultoso mandar musica no forum,existe outras plaraformas mais simples,tanto que ate agora so postei um exercicio queria mandar outros para professora me avaliar mas é  muoto complicado.","Quem faz a escola é o aluno, vocês me passaram o material e eu estudo todos os dias, pois eu sei que depende de mim. Só que falando por outros alunos que não tem a mesma visão minha. Acho que vocês deveriam acompanhar mais de perto, por exemplo? Aluno vocês têm que ter disciplina. Mas eu estou falando pelos outro .
",7.0,email (newsletter),,,,,,,,,,,,,,,,,,,,,,,,,"Youtube, Ao ver live da professoar mari","Estava procurando uma escola, assisti uma live da professora mariana e entrei no Instagram, visto que não encontrava endereço da music dot",Não acompanho em nenhum lugar,Sim,Não,Eu acho que não entendi sobre acompanhamento,"Diversificar o repertório eu estava mais de dez anos sem mexer com musica secular, somente gospel,somente ouvia no radio e na rua mas sem querer. E simplificar para enviar musica é muito trabalhoso .to querendo se analisado para saber se passo de fase mas desisti.fui para outra face assim mesmo. E a comunicação com a music dot deveria ser simples parece que agente fala com o alem manda video e depois vem a resposta. O primeiro video  e único que mandei fui bem atendido"
de 45 a 54 anos,Homem,3,Sim,Anual,"Não, eu não sabia que havia a possibilidade de testar",Quero melhorar minhas habilidades musicais,Baixo,Violino,Intermediário,2,3,3,2,3,3,3.0,5 - Nenhuma dificuldade/ Adorei,4,Não uso/Não sei opiniar,Não uso/Não sei opiniar,3,"Não poder baixar os vídeos; Não haver acesso viralício aos já feitos; Alguns cursos atendem à demanda do professor; Em alguns cursos, o repertório evangélico é excessivo (nada contra a religião); Ausência de indicação de literatura; Às vezes, a desatenção à língua portuguesa falada e lida compromete significativamente.","Em geral, os cursos são bons e os profissionais dominam os assuntos que tratam, inegavelmente.",7.0,"""Sininho"" de avisos da plataforma",,,,,,,,,,,,,,,,,,,,,,,,,Pesquisando no Google,Procurei aula de música on-line no Google.,Não acompanho em nenhum lugar,Sim,Sim,Curiosidade. ,"Penso que seja imperativo atentar aos pontos negativos, pois o conjunto resulta da análise crítica de um professor e ex-coordenador de curso, portanto guardando longa distância de qualquer maldade, apenas contribuindo."
de 35 a 44 anos,Homem,1,Sim,Anual,"Não, eu não sabia que havia a possibilidade de testar","Passatempo, Quero aprender teoria musical","Teclado, Piano, Áudio",Áudio,Básico,2,2,2,2,2,2,4.0,2,2,2,2,2,,,10.0,"email (newsletter), Youtube da MusicDot, post no Instagram da MusicDot, post no Facebook da MusicDot",,,,,,,,,,,,,,,,,,,,,,,,,"Youtube, Instagram",Procurando por curso de teclado no YouTube,"Youtube, Instagram, Facebook",Não,Não fiz o acampamento,,"Gostaria se possível de um desconto para pagar mais uma anuidade, pois infelizmente por problemas pessoais, não foi possível aproveitar a anuidade atual."
de 55 a 64 anos,Homem,1,Sim,Anual,"Não, eu não sabia que havia a possibilidade de testar",Passatempo,"Teclado, Piano",Teclado,Básico,0 - Detestei,0 - Detestei,0 - Detestei,0 - Detestei,0 - Detestei,0 - Detestei,1.0,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Depois da compra não houve followup e me esqueci da compra por impulso,Não sei não tive oportunidade de experimentar até o momento ,0.0,Youtube da MusicDot,,,,,,,,,,,,,,,,,,,,,,,,,Youtube,Buscava opções de ensino básico e surgiu no youtube,Não acompanho em nenhum lugar,Não,Não fiz o acampamento,acampamento ??????,Só poderei utilizar após dezembro 2020 e creio que já terminou o prazo p/ acessar e iniciar o curso.  
de 25 a 34 anos,Homem,2,Não,,,,,,,,,,,,,,,,,,,,,,,É uma escola de música online,"Quero aprender um instrumento musical, Gosto de acompanhar alguns conteúdos produzidos","Passatempo, Quero melhorar minhas habilidades musicais",Alta,Média,Muito alta,Média,Alta,Muito alta,Muito alta,Muito alta,Média,Baixa,Baixa,Sim,Não,,,,,,,,,"Youtube, Anúncios publicitários, Acampamento de Música","Estava começando no violão e vi a propagando do acampamento de violão. Achei muito bom e me ajudou muito a começar de verdade, sair do básico digamos assim. Adorei as aulas e os materiais, com isso me inscrevi no canal do Youtube.  Tive interesse no curso, e ainda tenho. Mas como tenho muito pouco tempo livre, o custo apesar de bem razoável não justifica para o meu caso por enquanto.",Youtube,Sim,Não,Havia começado a pouco tempo no violão e achei muito interessante a possibilidade de conhecer as aulas de forma gratuita além de evoluir. ,Acho muito legal o trabalho de todos vocês e a dedicação em ensinar diversos instrumentos.  As aulas são boas e torço para que continuem crescendo e mantendo o bom trabalho. 
de 35 a 44 anos,Homem,3,"Já tive, mas hoje não tenho mais",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plano semestral,Cancelei antes o fim de vigência do meu plano,Menos de 3 meses,"Não tenho tempo para estudar, Não estou em condições financeiras no momento, Queria uma  licença vitalícia do curso",,Talvez,Sim,7.0,"Youtube, Tecla center",,Youtube,Não,Não fiz o acampamento,,
de 25 a 34 anos,Homem,2,"Já tive, mas hoje não tenho mais",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plano semestral,6 meses,Menos de 6 meses,Não estou em condições financeiras no momento,,Sim,Não,10.0,Youtube,,Youtube,Não,Não fiz o acampamento,,"Vocês são maravilhosos. De verdade. A galera da minha igreja acompanha vocês por que eu fiz propaganda. Seguimos sempre. A Mari Soter foi uma excelente aquisição. O Pedro e o Raul, já amávamos antes. Vocês são fera!"
65 anos ou mais,Mulher,1,Não,,,,,,,,,,,,,,,,,,,,,,,É uma plataforma de cursos avulsos de música,Quero aperfeiçoar o que já sei através dos conteúdos,"Tocar/cantar na igreja, Quero melhorar minhas habilidades musicais, Quero aprender teoria musical",Alta,Alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Alta,Muito alta,Alta,Não,Sim,,,,,,,,,Messenger,"Um belo dia recebi alguma coisa do maestro. Me encantei pelo jeito estrovertido e divertido dele de ensinar, comecei assistir as lives e nunca mais parei. Não aprendi muito porque não me dediquei, mas, aprendi bastante. Agradeço muito pelas aulas, são muito boas.","Youtube, Newsletter, Spotify / Podcast MusicDoters",Não,Não,,"Muito gratificante participar das lives. Acredito que é uma equipe maravilhosa, porquê passam muito aprendizado fantástico. Obrigada a essa equipe, especialmente ao maestro Hélio Moreira. Gratidão!"
de 35 a 44 anos,Mulher,0,Não,,,,,,,,,,,,,,,,,,,,,,,"É um canal no Youtube sobre aprendizagem musical, É uma escola de música online",Quero aprender um instrumento musical,"Tocar/cantar na igreja, Desejo dar aula um dia",Muito alta,Alta,Muito alta,Média,Muito alta,Muito alta,Muito alta,Muito alta,Alta,Alta,Média,Não,Sim,,,,,,,,,Youtube,"Estava no YouTube, pesquisando e procurando informações para comprar um teclado para eu começar a prender teclado. Pois sou iniciante.",Youtube,Não,Não fiz o acampamento,,
de 55 a 64 anos,Homem,3,"Já tive, mas hoje não tenho mais",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plano semestral,6 meses,Por volta de 1 ano,Não tenho tempo para estudar,Sem tempo para me dedicar aos treinos.,Sim,Sim,9.0,"Youtube, Pesquisando no Google",Estava a procura de um curso musical bem didático e pesquisei na Internet.,Não acompanho em nenhum lugar,Não,Não fiz o acampamento,Não fiz,"Parabenizar ao professor de teclado, pois o mesmo é  muito didático e objetivo no ensino. Cresci muito com as aulas. Pretendo voltar em breve."
Abaixo de 18 anos,Mulher,1,Não,,,,,,,,,,,,,,,,,,,,,,,"É um canal no Youtube sobre aprendizagem musical, É uma página de conteúdo sobre música, É uma plataforma de cursos avulsos de música","Quero aprender um instrumento musical, Gosto de ficar por dentro das novidades do mundo musical, Gosto de acompanhar alguns conteúdos produzidos","Passatempo, Tocar/cantar na igreja, Quero aprender teoria musical, Conhecer um novo estilo musical",Muito baixa,Muito baixa,Baixa,Baixa,Baixa,Baixa,Baixa,Muito baixa,Baixa,Baixa,Baixa,Não,Sim,,,,,,,,,"Youtube, Anúncios publicitários, Instagram, Facebook, Pesquisando no Google",YouTube,"Youtube, Instagram, Facebook",Não,Não fiz o acampamento,,
de 18 a 24 anos,Homem,2,Sim,Anual,"Não, eu não sabia que havia a possibilidade de testar","Passatempo, Desejo ter um grupo ou banda, Quero melhorar minhas habilidades musicais, Quero ter a música como profissão, Escrever músicas e me expressar musicalmente também.",Canto,Canto,Básico,4,4,4,2,4,4,5.0,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,4,4,3,Eu particularmente tenho dificuldade em saber o momento que estou pronto pra passar para os exercícios seguintes. ,Não precisa sair de casa. Preço acessível. Contato com professores incríveis. Tirando de Ouvido (melhor quadro do youtube!). Variedade de cursos disponíveis. ,9.0,"email (newsletter), Youtube da MusicDot, post no Instagram da MusicDot",,,,,,,,,,,,,,,,,,,,,,,,,Youtube,Acho que foi buscando mais sobre como tirar músicas de ouvido no youtube.,"Youtube, Instagram, Spotify / Podcast MusicDoters",Não,Não fiz o acampamento,,"Vocês são incríveis. Continuem o que estão fazendo. Realmente acredito que irão fazer uma grande diferença na educação musical dos brasileiros. Abraço para o Leandro, Pedro, Raul, Lucas, Mari e Denis."
de 55 a 64 anos,Homem,3,"Já tive, mas hoje não tenho mais",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plano semestral,6 meses,Menos de 6 meses,motvo de força maior,,Sim,Não,9.0,"Anúncios publicitários, Pesquisando no Google, Indicação de influenciadores / youtubers/ podcast",,Não acompanho em nenhum lugar,Não,Não fiz o acampamento,,Achei um bom curso
de 25 a 34 anos,Homem,2,Não,,,,,,,,,,,,,,,,,,,,,,,É uma escola de música online,"Quero aprender um instrumento musical, Gosto de ficar por dentro das novidades do mundo musical, Quero aperfeiçoar o que já sei através dos conteúdos, Gosto de acompanhar alguns conteúdos produzidos","Passatempo, Desejo ter um grupo ou banda, Quero melhorar minhas habilidades musicais, Fazer novas amizades",Muito alta,Média,Alta,Média,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Alta,Média,Não,Sim,,,,,,,,,"Youtube, Grupo Caelum Alura",Canal Nerdologia,Instagram,Sim,Não,Conhecer melhor a Music Dot ,Faltou um plano vitalício ou um preço menor na mensalidade 
de 35 a 44 anos,Homem,2,Não,,,,,,,,,,,,,,,,,,,,,,,É uma escola de música online,Quero aperfeiçoar o que já sei através dos conteúdos,"Tocar/cantar na igreja, Desejo dar aula um dia, Pretendo fazer faculdade de música",Muito baixa,Muito baixa,Muito baixa,Muito baixa,Muito baixa,Muito baixa,Muito baixa,Muito alta,Muito baixa,Muito alta,Muito alta,Não,Sim,,,,,,,,,Facebook,Facebook,Não acompanho em nenhum lugar,Não,Não fiz o acampamento,Não faço,Gostaria de fazer 3 cursos on LINE mas o valor está além do que posso pagar infelizmente.
de 45 a 54 anos,Homem,1,Não,,,,,,,,,,,,,,,,,,,,,,,"É um canal no Youtube sobre aprendizagem musical, É uma escola de música online, É uma plataforma de cursos avulsos de música","Quero aprender um instrumento musical, Quero aperfeiçoar o que já sei através dos conteúdos, Gosto de avaliações de instrumentos musicais","Passatempo, Quero melhorar minhas habilidades musicais, Fazer novas amizades, Quero aprender teoria musical",Média,Alta,Alta,Baixa,Baixa,Muito alta,Muito alta,Alta,Média,Muito alta,Muito alta,Sim,Não,,,,,,,,,"Youtube, Anúncios publicitários, Email marketing, Grupo Caelum Alura, Pesquisando no Google",,Youtube,Não,Não fiz o acampamento,,
de 35 a 44 anos,Homem,1,Sim,Anual,"Não, eu não sabia que havia a possibilidade de testar",Passatempo,"Teclado, Piano, Teoria",Piano,Intermediário,2,3,3,3,3,3,5.0,3,3,3,3,3,Talvez a falta de mais diversidade em exercicios e repertório. ,A diversidade de material em diversas áreas da música é bastante inspiradora. ,9.0,"email (newsletter), Youtube da MusicDot",,,,,,,,,,,,,,,,,,,,,,,,,"Youtube, Anúncios publicitários, Pesquisando no Google",Procurando conteúdo sobre piano no YouTube ,Youtube,Não,Não fiz o acampamento,"Não fiz, mas gostaria muito quando houver um de piano. ",Parabéns pelo excelente trabalho 
de 35 a 44 anos,Mulher,3,Não,,,,,,,,,,,,,,,,,,,,,,,"É um canal no Youtube sobre aprendizagem musical, É uma escola de música online, É uma página de conteúdo sobre música, É uma plataforma de cursos avulsos de música","Gosto de ficar por dentro das novidades do mundo musical, Quero aperfeiçoar o que já sei através dos conteúdos, Gosto de acompanhar alguns conteúdos produzidos, Gosto de avaliações de instrumentos musicais","Passatempo, Quero melhorar minhas habilidades musicais",Média,Alta,Muito alta,Alta,Muito alta,Muito alta,Muito alta,Alta,Média,Média,Média,Sim,Não,,,,,,,,,Youtube,,Youtube,Sim,Não,,
de 45 a 54 anos,Homem,3,Não,,,,,,,,,,,,,,,,,,,,,,,"É um canal no Youtube sobre aprendizagem musical, É uma página de conteúdo sobre música","Quero aprender um instrumento musical, Gosto de ficar por dentro das novidades do mundo musical","Tocar/cantar na igreja, Quero melhorar minhas habilidades musicais, Fazer novas amizades",Média,Alta,Alta,Alta,Alta,Alta,Alta,Média,Alta,Média,Média,Sim,Sim,,,,,,,,,"Youtube, Email marketing",,Youtube,Sim,Não,O convívio e aprdndizafo,
65 anos ou mais,Homem,2,Sim,Anual,"Não, eu não sabia que havia a possibilidade de testar","Quero melhorar minhas habilidades musicais, Quero aprender teoria musical, Aprender um novo estilo musical que não domino","Teclado, Violão",Teoria,Básico,4,4,4,4,4,4,4.0,3,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,4,,,7.0,email (newsletter),,,,,,,,,,,,,,,,,,,,,,,,,Anúncios publicitários,Publicidade,Não acompanho em nenhum lugar,Não,Não fiz o acampamento,Não o fiz,"Entrar em contato com os estudantes pois só aparecem quando esta vencendo o período, com as atividades do dia esquecemos daq música."
de 18 a 24 anos,Mulher,2,Não,,,,,,,,,,,,,,,,,,,,,,,É uma escola de música online,Quero aperfeiçoar o que já sei através dos conteúdos,"Tocar/cantar na igreja, Quero melhorar minhas habilidades musicais, Quero me profissionalizar na música",Muito alta,Baixa,Alta,Baixa,Alta,Alta,Alta,Média,Média,Média,Alta,Não,Sim,,,,,,,,,"Indicação de amigos ou família, Instagram, Acampamento de Música",,Instagram,Sim,Não,,
de 18 a 24 anos,Mulher,4,Não,,,,,,,,,,,,,,,,,,,,,,,É um canal no Youtube sobre aprendizagem musical,"Gosto de acompanhar alguns conteúdos produzidos, Gosto de avaliações de instrumentos musicais","Passatempo, Quero melhorar minhas habilidades musicais, Quero aprender teoria musical",Média,Alta,Alta,Média,Muito alta,Muito alta,Muito alta,Alta,Alta,Alta,Baixa,Não,Sim,,,,,,,,,Youtube,Um “Tirando de Ouvido” surgiu nos meus recomendados,"Youtube, Newsletter",Não,Não fiz o acampamento,,
de 35 a 44 anos,Homem,1,Não,,,,,,,,,,,,,,,,,,,,,,,"É um canal no Youtube sobre aprendizagem musical, É uma escola de música online",Quero aprender um instrumento musical,Passatempo,Alta,Média,Muito alta,Alta,Baixa,Muito alta,Muito alta,Média,Média,Média,Média,Sim,Não,,,,,,,,,Youtube,,Youtube,Não,Não fiz o acampamento,,Terminei o curso básico de piano e teclado. Achei as aulas muito boas e o professor é ótimo. Único contra nesse início é que as músicas das aulas são pequenas partes e não a música completa. Entendo que é para o foco é o básico do instrumento nesse início.
de 35 a 44 anos,Homem,2,Sim,Semestral,"Não, eu não sabia que havia a possibilidade de testar","Passatempo, Quero melhorar minhas habilidades musicais","Baixo, Teoria",Baixo,Intermediário,4,4,2,0 - Detestei,3,2,3.0,4,5 - Nenhuma dificuldade/ Adorei,Não uso/Não sei opiniar,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,Mudança do professor no meio do curso,Estudar quando quiser,6.0,email (newsletter),,,,,,,,,,,,,,,,,,,,,,,,,Pesquisando no Google,,Youtube,Não,Não fiz o acampamento,,
Abaixo de 18 anos,Homem,4,Sim,Semestral,"Não, eu não sabia que havia a possibilidade de testar","Tocar/cantar na igreja, Quero melhorar minhas habilidades musicais","Teclado, Piano, Canto",Teclado,Intermediário,3,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,4.0,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,2,4,"Não é um ponto negativo, apenas uma sugestão, no curso de teclado seria interessante se houvesse aquele ""teclado online"" igual nas lives, que facilita na hora de tentar acompanhar a montagem de acordes. O aplicativo eu não costumo usar muito pois sinto falta de algumas funções que só existem na versão web"," Professores muito bem preparados, com didática pensada e atendimento muito querido com os alunos ",10.0,"email (newsletter), Youtube da MusicDot, post no Instagram da MusicDot",,,,,,,,,,,,,,,,,,,,,,,,,"Youtube, Indicação de amigos ou família","Um amigo me indicou o canal do YouTube para que eu pudesse decidir sobre o meu primeiro teclado... após conhecer o conteúdo, me apaixonei no tirando de ouvido, e por ter gostado muito dos professores, e por ter um preço acessível, decidi assinar ","Youtube, Instagram, Newsletter, Spotify / Podcast MusicDoters",Não,Não fiz o acampamento,,"Parabéns pelo trabalho de todos vocês! 
Algumas sugestões: 
- Seria legal um plano trimestral ou mensal.
- O podcast está fazendo falta kkkk
- Nas aulas de teclado poderia ter aquele ""teclado online"" igual nas lives 
:)"
